CollectionsNumber,CollectionsName,CollectorsName,date,Country,Dpto,locality,latitude,longitude,species,iris,sex,lifestage
9433a,COP,,9-Nov-40,Venezuela,Tachira,"Tachira, Páramo Zumbador",7.9667,-72.0667,Pipreola arcuata,Rojo sin brillo,female,
14545,COP,,22 Aug 1941,Venezuela,Merida,Merida,8.6833,-71.1,Pipreola arcuata,Rojo,male,
20182,COP,,25-Nov-42,Venezuela,Trujillo,"Trujillo, Cerro Niquitaz; El Rincón",9.5333,-70.13333,Pipreola arcuata,Naranja,male,
20183,COP,,25-Nov-42,Venezuela,Trujillo,"Trujillo, Cerro Niquitaz; El Rincón",9.5333,-70.13333,Pipreola arcuata,Naranja,male,
20184,COP,,25-Nov-42,Venezuela,Trujillo,"Trujillo, Cerro Niquitaz; El Rincón",9.5333,-70.13333,Pipreola arcuata,Naranja,female,
45386,COP,,17 Aug 1948,Venezuela,Merida,"Merida, Páramo Aricagua; El Muerto; Falda Norte",8.2667,-71.18333,Pipreola arcuata,Naranja,male,
45387,COP,,17 Aug 1948,Venezuela,Merida,"Merida, Páramo Aricagua; El Muerto; Falda Norte",8.2667,-71.18333,Pipreola arcuata,Naranja-rojo,male,
45388,COP,,17 Aug 1948,Venezuela,Merida,"Merida, Páramo Aricagua",8.2667,-71.18333,Pipreola arcuata,Naranja,male,
49347,COP,,23-Nov-49,Venezuela,Merida,"Merida, Santo Domingo; Mesa de Lino",8.8333,-70.6,Pipreola arcuata,Rojo,female,
49348,COP,,23-Nov-49,Venezuela,Merida,"Merida, Santo Domingo; Mesa de Lino",8.8500,-70.6,Pipreola arcuata,Marron-Naranja,male,
49350,COP,,23-Nov-49,Venezuela,Merida,"Merida, Santo Domingo; Mesa de Lino",8.8500,-70.6,Pipreola arcuata,Naranja,female,
76839,COP,,2-Feb-82,Venezuela,Trujillo,"Trujillo, Páramo El Morro,",9.6667,-70.1,Pipreola arcuata,Naranja,male,
84130,COP,,24-Mar-09,Venezuela,Tachira,"Tachira, Páramos El Batallón y La Negra; Rio Bobo, INIA",8.0143,-71.9638,Pipreola arcuata,naranja amarillento,male,
