ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
640527960,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Ian van Coller,2025-08-02,2025,8,2,830,Ecuador,EC-P,Pichincha,NA,Reserva Zuro Loma,-0.088671,-78.5997518,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S264504619,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,2,NA,1600,2000,male,1
640487887,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Isaiah Nugent,2025-08-18,2025,8,18,700,Ecuador,EC-P,Pichincha,NA,Reserva Zuro Loma,-0.088671,-78.5997518,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S268082158,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2051,2423,male,1
640340831,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Guillermo Saborío Vega,2025-06-26,2025,6,26,638,Peru,PE-HUC,Huánuco,NA,Bosque Unchog,-9.7373144,-76.1698347,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S254375531,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,3072,3840,male juvenil,1
639918880,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Anonymous,2025-07-22,2025,7,22,810,Ecuador,EC-P,Pichincha,NA,Reserva Zuro Loma,-0.088671,-78.5997518,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S261969247,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,2,NA,3072,4608,male,1
639841502,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Guillermo Saborío Vega,2025-06-25,2025,6,25,711,Peru,PE-HUC,Huánuco,NA,Tunel de Carpish,-9.719796,-76.0989894,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S254071568,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,3072,4608,male,1
639727066,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Robert McNab,2025-07-22,2025,7,22,730,Ecuador,EC-P,Pichincha,NA,Reserva Yanacocha,-0.1117522,-78.5846968,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S263703995,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2577,3436,female,1
639665313,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Fernando Angulo - CORBIDI,2025-07-26,2025,7,26,649,Peru,PE-HUC,Huánuco,NA,Sendero Tunel de Carpish,-9.7234601,-76.0975072,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S262964675,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,3153,4493,male,1
638965809,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Iván Lau,2025-05-25,2025,5,25,651,Peru,PE-HUC,Huánuco,NA,Tunel de Carpish,-9.719796,-76.0989894,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S242721299,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3.5,2,NA,2610,3318,male,1
638735868,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Robert Lambeck,2025-07-04,2025,7,4,657,Peru,PE-HUC,Huánuco,NA,Tunel de Carpish,-9.719796,-76.0989894,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S256959616,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,2,NA,3456,4608,female,1
638435064,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Rafael Cuevas,2025-05-10,2025,5,10,1601,Venezuela,VE-L,Mérida,NA,"Monte Zerpa, PN Sierra La Culata",8.6531332,-71.1835953,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S235947139,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,820,1080,male,1
636690046,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Danilo Mena,2025-05-17,2025,5,17,708,Ecuador,EC-P,Pichincha,NA,Reserva Zuro Loma,-0.088671,-78.5997518,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S239460550,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,4991,4660,male,1
636322257,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Luis Carlos García Mejía,2025-05-12,2025,5,12,700,Colombia,CO-CAL,Caldas,NA,Hda El Bosque. Manizales,5.02677,-75.3666945,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S241388407,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4.5,2,NA,2125,2833,male,1
636287962,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Roger Shaw,2025-05-08,2025,5,8,703,Ecuador,EC-Z,Zamora-Chinchipe,NA,Reserva Tapichalaca y Casa Simpson,-4.4950289,-79.1322792,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S234663699,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,1,NA,2144,3216,male,1
636132844,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Fernando Angulo - CORBIDI,2025-05-04,2025,5,4,610,Peru,PE-HUC,Huánuco,NA,"Campamento Mollejón - Huánuco, PE (-9,811, -75,756)",-9.8112517,-75.7556633,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S234033475,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,2,1,NA,1814,2602,male,1
635882586,Photo,barred fruiteater,Pipreola arcuata,NA,NA,William Tice,2025-05-03,2025,5,3,709,Ecuador,EC-L,Loja,NA,Cerro Toledo--general area (*please use a more precise location when possible),-4.3828265,-79.11754,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S232724717,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2543,2547,male,1
635234291,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Heiler Uribe,2025-05-04,2025,5,4,730,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S233398208,NA,NA,NA,NA,3M 1F,Pipreola arcuata,barfru1,Species,15859,NA,5,1,NA,3000,2258,male,1
635214676,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jane Crawford,2025-05-05,2025,5,5,755,Ecuador,EC-P,Pichincha,NA,Reserva Zuro Loma,-0.088671,-78.5997518,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S234037386,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,1,NA,4000,6000,male,1
