url,recordist,Country,Dpto,locality,date,latitude,longitude,species,scientific_name,iris,sex,lifestage
626504512,Peter Kennedy,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca--Sendero Jocotoco,2024-11-05,-4.4906,-79.1318,Barred Fruiteater,Pipreola arcuata,brown,male,adult
626277855,Mats Hildeman,Ecuador,Pichincha,Reserva Zuro Loma,2024-11-02,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,female,adult
625762506,Ezra Garfield,Colombia,Caldas,Hacienda El Bosque,2024-09-09,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
624571893,Justin Alvarado,Colombia,Caldas,Hacienda El Bosque,2024-09-21,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
624065205,D T,Ecuador,Pichincha,Reserva Yanacocha,2024-09-21,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,female,adult
623051053,Ron Hoff Dollyann Myers,Peru,Huánuco,Sendero Tunel de Carpish,2024-07-15,-9.7235,-76.0975,Barred Fruiteater,Pipreola arcuata,brown,female,adult
621512417,Charlene Glacy,Colombia,Caldas,Hacienda El Bosque,2024-07-06,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
620957753,Jim Hargrove,Colombia,Caldas,Hacienda El Bosque,2024-06-18,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
620536440,Jaider Carrillo Tarazona @Perijá_Birding_Travel,Colombia,Cesar,Mashiramo Glamping,2024-06-07,10.3680,-72.9553,Barred Fruiteater,Pipreola arcuata,brown,male,juvenil
620416994,Juan Carlos Cano Aguilera,Colombia,Caldas,Hacienda El Bosque,2024-06-08,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,female,adult
619320882,Michael Cook,Colombia,Caldas,Hacienda El Bosque,2024-05-17,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
615804878,Julian Valencia,Colombia,Caldas,Hacienda El Bosque,2024-03-08,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
615414576,Lyle Hamilton,Ecuador,Pichincha,Reserva Yanacocha,2024-02-17,-0.1118,-78.5847,Barred Fruiteater,Pipreola arcuata,brown,male,adult
615252835,Jill Casperson,Colombia,Caldas,Hacienda El Bosque,2024-01-12,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
615126541,loretta kao,Colombia,Caldas,Hacienda El Bosque,2024-01-19,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
614596572,Fratercula Arctica,Colombia,Caldas,Hacienda El Bosque,2024-02-04,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
614317594,Brad Murphy,Colombia,Cesar,Chamicero del Perijá Proaves Reserve,2024-01-13,10.3627,-72.9492,Barred Fruiteater,Pipreola arcuata,brown,male,adult
613882627,Michael Preston,Ecuador,Pichincha,Reserva Zuro Loma,2023-11-14,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,male,adult
613756788,David Massie,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2023-10-17,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,female,adult
611182742,George Chater,Colombia,Caldas,Hacienda El Bosque,2023-11-11,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
610329278,Lea Schellhous,Colombia,Caldas,Hacienda El Bosque,2023-10-03,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
605365671,Kate Reed,Colombia,Caldas,Hacienda El Bosque,2023-05-31,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
602636301,Neil Broekhuizen,Ecuador,Pichincha,Reserva Zuro Loma,2022-01-17,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,male,adult
566470171,Berend van Baak,Ecuador,Zamora-Chinchipe,Reserva Tapichalaca y Casa Simpson,2023-02-18,-4.4950,-79.1323,Barred Fruiteater,Pipreola arcuata,brown,male,adult
545430331,Colin Dobson,Ecuador,Napo,Guango Lodge,2023-03-14,-0.3781,-78.0743,Barred Fruiteater,Pipreola arcuata,brown,female,adult
508017361,David Bailey,Ecuador,Pichincha,Reserva Zuro Loma,2022-11-21,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,macho,adult
508017361,David Bailey,Ecuador,Pichincha,Reserva Zuro Loma,2022-11-21,-0.0887,-78.5998,Barred Fruiteater,Pipreola arcuata,brown,hembra,adult
507565111,David Weaver,Ecuador,Pichincha,"Upper Chiriboga Rd. (upper subtropical and temperate zone, >2500m)",2022-11-26,-0.2795,-78.6927,Barred Fruiteater,Pipreola arcuata,brown,male,adult
504698411,Alejandro Pinto_TanagerPhotoTours,Colombia,Caldas,Hacienda El Bosque,2022-11-15,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
480178331,S Kanchan,Colombia,Caldas,Hacienda El Bosque,2022-08-12,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
477368311,Benoît Segerer,Peru,San Martín,"below El Jardin, 2900-2400m",2022-07-03,-6.9733,-77.6579,Barred Fruiteater,Pipreola arcuata,brown,male,adult
473102131,Johnnier Arango | theandeanbirder.com,Colombia,Risaralda,Finca El Cortaderal,2017-08-16,4.7745,-75.4655,Barred Fruiteater,Pipreola arcuata,brown,male,adult
