ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
644276460,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Yann Muzika,2025-09-29,2025,9,29,614,Bolivia,BO-C,Cochabamba,NA,Corani cloud forest,-17.1584284,-65.8746672,NA,Vocalizing,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,S276330745,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3.5,2,NA,2668,4000,male,2
644242147,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jennifer Coulson,2025-08-10,2025,8,10,1419,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station--Tangara Trail,-13.188756,-71.586491,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S266474771,NA,NA,NA,Nikon CoolPix P1000,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2522,3805,female,2
643622599,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Andy Gee,2025-10-14,2025,10,14,849,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Túneles Pillahuata (2600-2800m),-13.17066,-71.60379,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S279788683,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2007,2453,male,2
643376448,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Allan Gilbert,2025-09-16,2025,9,16,1104,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Túneles Pillahuata (2600-2800m),-13.17066,-71.60379,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S273793275,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,1,NA,683,1024,male,2
643347812,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Carl Winstead,2025-09-23,2025,9,23,639,Bolivia,BO-C,Cochabamba,NA,Corani cloud forest,-17.1584284,-65.8746672,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S275146985,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2250,4000,female,2
642999816,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Carl Winstead,2025-09-30,2025,9,30,652,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S276545287,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2700,4800,male,2
642988751,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Mark Smiles,2025-10-05,2025,10,5,707,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S277501749,NA,NA,NA,NA,Male at less than 4m!,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3456,4608,male,2
641733845,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Fernando Burgalin Sequeria,2025-08-23,2025,8,23,619,Peru,PE-CUS,Cuzco [Cusco],NA,"Frente Wayqecha-13.17849, -71.60947",-13.17849,-71.609466,Adult Male – 1,Foraging or Eating; Vocalizing,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,S269067016,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4.5,2,Habitat,2048,1536,male,2
641388707,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Russ Namitz,2025-08-19,2025,8,19,629,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Birding Lodge,-13.1750985,-71.5867263,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S268335171,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,4239,6355,male,2
640955575,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Neil Earnest,2025-05-31,2025,5,31,1130,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station,-13.1749355,-71.5871823,Adult Female – 1,Foraging or Eating,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,S245343320,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,1635,2455,female,2
640323362,Photo,barred fruiteater,Pipreola arcuata,NA,NA,dvir rudnicki,2025-08-15,2025,8,15,630,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station,-13.1749355,-71.5871823,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S267413884,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3.5,2,NA,2066,2643,male,2
640319051,Photo,barred fruiteater,Pipreola arcuata,NA,NA,dvir rudnicki,2025-08-14,2025,8,14,1430,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station,-13.1749355,-71.5871823,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S267267382,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,1,NA,3648,5472,male,2
639963523,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Suren Akkaraju,2025-07-06,2025,7,6,1423,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Pillahuata (Valqui A1.2),-13.1620833,-71.5945,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S259361930,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,2,NA,NA,NA,male,2
639790026,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Rita Souza,2025-06-21,2025,6,21,751,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S253515775,NA,NA,NA,NA,Pics. Melastome,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,1984,2646,male,2
639451466,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jeff 'JP' Peters,2025-07-18,2025,7,18,840,Bolivia,BO-C,Cochabamba,NA,Corani cloud forest,-17.1584284,-65.8746672,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S261155059,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,2200,3300,male,2
639385446,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Scott Ramos,2025-06-28,2025,6,28,834,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Túneles Pillahuata (2600-2800m),-13.17066,-71.60379,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S254916431,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,2,NA,2155,2873,male,2
638998663,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Donald Wellmann,2025-06-14,2025,6,14,700,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S260415524,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,2977,4304,male,2
638963568,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Dean LaTray,2025-06-24,2025,6,24,1522,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Túneles Pillahuata (2600-2800m),-13.17066,-71.60379,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S254126091,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,2357,3300,male,2
637928752,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Andrew Gioannetti,2025-06-11,2025,6,11,1214,Peru,PE-CUS,Cuzco [Cusco],NA,"Auto selected -13.17683, -71.60941",-13.176833,-71.609406,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S249664290,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3168,4752,female,2
635600432,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Walker Aguilar,2025-05-10,2025,5,10,1300,Bolivia,BO-C,Cochabamba,NA,Churo Alto,-17.164772,-65.884328,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S236803936,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,1,NA,NA,NA,male,2
